4/28/16,94.83
4/27/16,97.82
4/26/16,104.35
4/25/16,105.08
4/22/16,105.68
4/21/16,105.97
4/20/16,107.13
4/19/16,106.91
4/18/16,107.48
4/15/16,109.85
4/14/16,112.1
4/13/16,112.04
4/12/16,110.44
4/11/16,109.02
4/8/16,108.66
4/7/16,108.54
4/6/16,110.96
4/5/16,109.81
4/4/16,111.12
4/1/16,109.99
3/31/16,108.99
3/30/16,109.56
3/29/16,107.68
3/28/16,105.19
3/24/16,105.67
3/23/16,106.13
3/22/16,106.72
3/21/16,105.91
3/18/16,105.92
3/17/16,105.8
3/16/16,105.97
3/15/16,104.58
3/14/16,102.52
3/11/16,102.26
3/10/16,101.17
3/9/16,101.12
3/8/16,101.03
3/7/16,101.87
3/4/16,103.01
3/3/16,101.5
3/2/16,100.75
3/1/16,100.53
2/29/16,96.69
2/26/16,96.91
2/25/16,96.76
2/24/16,96.1
2/23/16,94.69
2/22/16,96.88
2/19/16,96.04
2/18/16,96.26
2/17/16,98.12
2/16/16,96.64
2/12/16,93.99
2/11/16,93.7
2/10/16,94.27
2/9/16,94.99
2/8/16,95.01
2/5/16,94.02
2/4/16,96.6
2/3/16,96.35
2/2/16,94.48
2/1/16,96.43
1/29/16,97.34
1/28/16,94.09
1/27/16,93.42
1/26/16,99.99
1/25/16,99.44
1/22/16,101.42
1/21/16,96.3
1/20/16,96.79
1/19/16,96.66
1/15/16,97.13
1/14/16,99.52
1/13/16,97.39
1/12/16,99.96
1/11/16,98.53
1/8/16,96.96
1/7/16,96.45
1/6/16,100.7
1/5/16,102.71
1/4/16,105.35
12/31/15,105.26
12/30/15,107.32
12/29/15,108.74
12/28/15,106.82
12/24/15,108.03
12/23/15,108.61
12/22/15,107.23
12/21/15,107.33
12/18/15,106.03
12/17/15,108.98
12/16/15,111.34
12/15/15,110.49
12/14/15,112.48
12/11/15,113.18
12/10/15,116.17
12/9/15,115.62
12/8/15,118.23
12/7/15,118.28
12/4/15,119.03
12/3/15,115.2
12/2/15,116.28
12/1/15,117.34
11/30/15,118.3
11/27/15,117.81
11/25/15,118.03
11/24/15,118.88
11/23/15,117.75
11/20/15,119.3
11/19/15,118.78
11/18/15,117.29
11/17/15,113.69
11/16/15,114.175
11/13/15,112.34
11/12/15,115.72
11/11/15,116.11
11/10/15,116.77
11/9/15,120.57
11/6/15,121.06
11/5/15,120.92
11/4/15,122
11/3/15,122.57
11/2/15,121.18
10/30/15,119.5
10/29/15,120.53
10/28/15,119.27
10/27/15,114.55
10/26/15,115.28
10/23/15,119.08
10/22/15,115.5
10/21/15,113.76
10/20/15,113.77
10/19/15,111.73
10/16/15,111.04
10/15/15,111.86
10/14/15,110.21
10/13/15,111.79
10/12/15,111.6
10/9/15,112.12
10/8/15,109.5
10/7/15,110.78
10/6/15,111.31
10/5/15,110.78
10/2/15,110.38
10/1/15,109.58
9/30/15,109.95
9/29/15,109.06
9/28/15,112.44
9/25/15,114.71
9/24/15,115
9/23/15,114.32
9/22/15,113.4
9/21/15,115.21
9/18/15,113.45
9/17/15,113.92
9/16/15,116.41
9/15/15,116.28
9/14/15,115.31
9/11/15,114.21
9/10/15,112.57
9/9/15,110.15
9/8/15,112.31
9/4/15,109.27
9/3/15,110.37
9/2/15,112.34
9/1/15,107.72
8/31/15,112.76
8/28/15,113.29
8/27/15,112.92
8/26/15,109.69
8/25/15,103.74
8/24/15,103.12
8/21/15,105.76
8/20/15,112.65
8/19/15,115.01
8/18/15,116.5
8/17/15,117.16
8/14/15,115.96
